Прайс-лист для Участников Компании АРГО						
Действителен на момент публикации 02.10.2014. Не является офертой (ст. 437 ГК РФ)						
Код	Наименование	Цена* за единицу, руб.	Баллы	Блок, едениц		Для расчета цен с учетом транспортного коэффициента введите в ячейку расположенную под этой надписью свой транспортный коэффициент в процентах.
	Алтом-Консульт					
2708	Емкость с распылителем	52	2	20		
2702	Концентрат «Локс-эко», 250 мл	213	13	10		0,00%
2703	Слокс-эко для растений, 110 мл	73	4	7		Для расчета цен в другой валюте введите в ячейку расположенную под этой надписью коэффициент пересчета цен.
2712	Слокс-эко для растений, 250 мл	114	6	5		
2714	Средство против грызунов «Слокс-эко», 4 таблетки	139	8	10		
2704	Средство против моли «Слокс-эко», 1,2 г	66	4	10		
2705	Средство против моли и клопов «Слокс-эко», 110 мл	87	5	7		1,0000
2713	Стимулятор роста растений хитозановый «Слокс-эко», концентрат, 5 мл	127	7	15		Для определения точности расчета цен укажите в ячейке под этой надписью количество цифр после запятой.
2711	Удобрение органическое для комплексной подкормки растений «Слокс-эко», 500 мл	122	7	12		
2709	Удобрение органическое для подкормки и защиты растений от вред. «Слокс-эко», 500 мл	139	8	12		0
2710	Удобрение органическое для укрепления корневой системы «Слокс-эко», 500 мл	125	7	12		
	Апифарм					
0726	Адиабетон, капсулы, 100 шт	636	40	8		
0701	Аргосластин, таблетки, 200 шт	196	13	10		
0706	Вазолептин, таблетки, 50 шт	404	24	10		
0720	Гемолептин, таблетки, 50 шт	404	24	10		
0707	Гепатолептин, таблетки, 50 шт	404	24	10		
0715	Карамель леденцовая «Плантико Кардиолептин», 33 г	46	3	5		
0717	Карамель леденцовая «Плантико Лептопротект», 33 г	46	3	5		
0708	Кардиолептин, таблетки, 50 шт	404	24	10		
0702	Каталитин, таблетки, 100 шт	728	47	5		
0703	Каталитин, таблетки, 40 шт	304	20	10		
0728	Конфеты таблетированные с растительными экстрактами «Аргофемин», 100 шт	490	30	10		
0729	Конфеты таблетированные с растительными экстрактами «НекурИт», 100 шт	490	30	10		
0722	Концентрат сухой напитка безалкогольного «Алкостоп», 5 пакетов по 10 г	243	16	5		
0725	Концентрат сухой напитка безалкогольного «Варико-стоп»,  20 пакетов по 10 г	487	31	3		
0724	Концентрат сухой напитка безалкогольного «Инфлю-стоп», 10 пакетов по 10 г	296	17	6		
0709	Лептоник, таблетки, 50 шт	404	24	10		
0710	Лептопротект, таблетки, 50 шт	404	24	10		
0711	Лептоседин, таблетки, 50 шт	404	24	10		
0721	Мумичага 100, таблетки, 100 шт	513	30	5		
0704	Набор «Рецепт успеха»	2760	170	1		
0712	Нефролептин, таблетки, 50 шт	404	24	10		
0718	Офтальмолептин, таблетки, 50 шт	404	24	10		
0727	Пентабион, капсулы, 56 шт	376	23	10		
0705	Хитолан, таблетки, 40 шт	355	22	10		
0719	Хондролептин, таблетки, 50 шт	404	24	10		
0713	Энтеролептин, таблетки, 50 шт	404	24	10		
	АРГО ЭМ-1					
	Здоровое питание					
2026	Продукт кисломолочный «ЭМ-Курунга», капсулы, 60 шт	486	32	15		
2027	Продукт кисломолочный «ЭМ-Курунга», порошок, 3 пак. по 2 г	103	7	8		
2025	Продукт кисломолочный «ЭМ-Курунга», таблетки, 30 шт	179	12	32		
2023	Продукт кисломолочный «ЭМ-Курунга», таблетки, 60 шт	335	22	18		
2016	Продукт кисломолочный сухой «Курунговит ЖКТ», таблетки, 60 шт	274	18	5		
2015	Продукт кисломолочный сухой «Курунговит», таблетки, 60 шт	245	16	5		
2017	Продукт кисломолочный сухой «Курунговит-С», таблетки, 60 шт	245	16	5		
	Здоровье и быт					
2021	Биодезодорант бытовой «Эмикс», концентрат, 25 мл	154	10	8		
2001	Биоудобрение «Байкал ЭМ-1», концентрат, 40 мл	282	18	27		
2008	Концентрат биопрепарата «Тамир», 30 мл	203	13	27		
2018	Концентрат кормовой «ЭМ-курунга» (ВетЭМ), 25 г	112	7	15		
2003	Подкормка для растений сухая «Ургаса», 150 г	155	10	8		
2033	Подкормка для растений сухая «Эмикс», 150 г	188	12	8		
2002	Среда питательная «ЭМ-патока», 100 мл	89	6	6		
3303	Супер-салфетки набор, 4 шт	277	12	30		
2031	Удобрение минеральное «ГУМАТЭМ» для защиты растений, 250 мл	173	11	30		
2029	Удобрение минеральное «ГУМАТЭМ» для корневой и внекорневой подкормки культур, 250 мл	151	10	30		
2030	Удобрение минеральное «ГУМАТЭМ» для плодово-ягодных и цветочно-декоративных культур, 250 мл	155	10	30		
2028	Удобрение минеральное «ГУМАТЭМ» универсальное, 250 мл	159	10	30		
2032	ЭМ + салфетки, 1 + 4 шт	270	12	3		
2020	ЭМ-доска (подставка вкуса)	286	18	5		
2034	Эмикс-наклейка	211	13	10		
2024	ЭМ-керамика с усиленными свойствами, 1 шт	164	10	12		
2019	ЭМ-контейнер, 3 шт	637	40	3		
2006	ЭМ-культиватор	415	25	7		
2013	ЭМ-пластина	77	5	10		
	Биакс					
1401	Бальзам «Хвойный дар», 10 мл	154	9	10		
1403	Ингалятор с бальзамом «Хвойный дар», набор	203	12	10		
1408	Крем-бальзам «Витапринол» с живицей, 75 мл	226	13	1		
1407	Крем-карандаш «Витапринол», 10 шт	482	30	1		
	Биолит					
	Здоровое питание					
0302	Аргозид, гранулы, 120 г	351	23	10		
0304	Ахиллан, гранулы, 90 г	288	19	10		
0305	Венорм на сорбите, гранулы, 120 г	351	23	10		
0307	Венорм, гранулы, 120 г	351	23	10		
0308	Витамикс, гранулы, 120 г	351	23	10		
0309	Витасел, гранулы, 90 г	288	19	10		
0310	Галега-Нова, гранулы, 90 г	288	19	10		
0341	Гепатосол на сорбите, гранулы, 90 г	242	14	10		
0320	Гепатосол, гранулы, 90 г	242	14	10		
0350	Кальций-Биолит, капсулы, 90 шт	1592	90	2		
0311	Климатон плюс, гранулы, 90 г	288	19	10		
0312	Климатон, гранулы, 90 г	256	17	10		
0316	Липроксол на сорбите, гранулы, 90 г	288	19	10		
0317	Липроксол, гранулы, 90 г	288	19	10		
0301	Марикад, капсулы, 90 шт	1694	100	2		
0314	Напиток концентрированный «Лактавия с соком облепихи и моркови», 100 г	351	23	10		
0315	Напиток концентрированный «Лактавия с соком черники и аронии», 100 г	351	23	10		
3504	Напиток чайный «Популин», 200 мл	856	50	8		
3507	Напиток чайный гранулированный «Гепатосол», 300 г	767	45	1		
3506	Напиток чайный гранулированный «Гепатосол», 90 г	242	14	10		
3502	Напиток чайный гранулированный «Липроксол», 90 г	279	18	10		
3501	Напиток чайный гранулированный «Танаксол плюс», 42 г	209	12	20		
3505	Напиток чайный гранулированный «Уролизин», 120 г	364	24	10		
3503	Напиток чайный гранулированный «Экорсол», 42 г	209	12	20		
3510	Напиток чайный гранулированный на шроте лопуха «Ахиллан», 90 г	226	14	4		
3511	Напиток чайный гранулированный на шроте лопуха «Венорм», 90 г	226	14	4		
3512	Напиток чайный гранулированный на шроте лопуха «Витамикс», 90 г	226	14	4		
3513	Напиток чайный гранулированный на шроте лопуха «Галега-нова», 90 г	226	14	4		
3514	Напиток чайный гранулированный на шроте лопуха «Гепатосол», 90 г	226	14	4		
3515	Напиток чайный гранулированный на шроте лопуха «Флавигран-очанка», 90 г	226	14	4		
3516	Напиток чайный гранулированный на шроте лопуха «Эсобел с экстрактом сабельника», 90 г	226	14	4		
0321	Поликавин, гранулы, 110 г	524	35	10		
0337	Популин, жидкость, 200 мл	856	50	8		
0345	Популин, жидкость, 75 мл	427	25	10		
0323	Простадонт, гранулы, 90 г	288	19	10		
0346	Рейши-Кан, гранулы, 100 г	1919	110	2		
0326	Семена лопуха, капсулы, 190 шт	867	50	2		
0322	Семена солянки холмовой, капсулы, 190 шт	604	35	2		
3508	Танаксол форте, капсулы, 30 шт	418	27	2		
0388	Танаксол, гранулы, 42 г	209	12	20		
0347	Токсидонт-май, жидкость, 75 мл	548	32	8		
0325	Тонизид, гранулы, 90 г	288	19	10		
0327	Уролизин, гранулы, 120 г	351	23	10		
0329	Флавигран, гранулы, 120 г	447	30	10		
0344	Флавигран-очанка, гранулы, 120 г	468	31	10		
0330	Флорента напиток, 200 мл	256	17	48		
0331	Флорента спрей, 50 мл	182	12	10		
0332	Ширлайн с лохеином, гранулы, 30 г	182	12	20		
0338	Ширлайн, гранулы, 120 г	256	17	10		
0334	Ширлайн, гранулы, 30 г	182	12	20		
3509	Экорсол форте, капсулы, 90 шт	857	55	2		
0335	Экорсол, гранулы, 42 г	209	12	20		
0336	Экстракт корня лопуха, жидкость, 75 мл	548	32	10		
0339	Экстракт крапивы, жидкость, 75 мл	564	37	10		
0343	Экстракт подорожника, жидкость, 75 мл	564	37	10		
0394	Эсобел с экстрактом сабельника болотного, гранулы, 120 г	543	36	10		
0306	Эсобел-Арт, капсулы, 90 шт	1204	70	2		
	Наружные средства					
0393	Бальзам «Чистотел», туба, 20 мл	195	12	5		
0351	Бальзам для волос, 50 мл	150	10	20		
0352	Ванна скипидарная №1, 250 мл	351	23	5		
0353	Ванна скипидарная №2, 250 мл	521	35	5		
0385	Гель «Эплир», 20 мл	114	7	10		
0396	Гель для душа «Для мужчин», 250 мл	216	14	2		
0397	Гель для душа «Морской бриз», 250 мл	216	14	2		
0398	Гель для душа «Черная орхидея», 250 мл	216	14	2		
0373	Гель для интимной гигиены «Блаженство», 20 мл	98	6	10		
0354	Гель против ушибов «Арктика», 30 мл	98	6	10		
0355	Гель рассасывающий «Мамавит», 50 мл	242	14	4		
0377	Концентрат березовый для ног «Бетулан», 40 г	98	6	20		
0374	Концентрат с экстрактом корня лопуха, 150 мл	256	17	4		
0381	Концентрат с экстрактом листа крапивы, 150 мл	256	17	4		
0387	Крем «Ширлайн», 50 мл	114	7	14		
0386	Крем «Эплир», 50 мл	256	17	12		
0357	Крем антиаллергический «Солхинол», 30 мл	130	8	10		
0358	Крем антиварикозный «Венорм», 50 мл	146	9	14		
0382	Крем массажный «Мумие», 50 мл	195	12	14		
0362	Крем массажный с экстрактом сабельника «Эсобел», 50 мл	162	10	14		
0363	Крем противовоспалительный «Флорента», 30 мл	130	8	10		
0359	Крем противогрибковый «Микодонт», 30 мл	130	8	10		
0360	Крем противопсориазный «Пикладол», 30 мл	130	8	10		
0376	Маска с экстрактом корня лопуха, 150 мл	228	14	4		
0384	Маска с экстрактом крапивы, 150 мл	228	14	4		
0372	Масло «Эплир», 10 мл	75	5	30		
0371	Соль для ванн «Эсобел», гранулы, 50 г	182	12	20		
0399	Шампунь "Дегтярный", 250 мл	188	11	2		
	Быкова Т.Н.					
2801	Полустельки супинированные, размер 36–38	579	35	10		
2804	Полустельки супинированные, размер 39	579	35	10		
2802	Полустельки супинированные, размер 40–42	579	35	10		
2803	Полустельки супинированные, размер 43–45	579	35	10		
	ВекторПро					
1223	Аргоника коллоидное серебро, 10 мл	484	25	6		
1225	Гель «АльгаРетинол» с витамином А, 50 мл	548	34	6		
1204	Гель «АргоВасна Календула», 25 г	176	10	8		
1218	Гель «АргоВасна Календула», 50 мл	426	25	6		
1205	Гель «АргоВасна Орех», 25 г	176	10	8		
1219	Гель «АргоВасна Орех», 50 мл	426	25	6		
1208	Гель «АргоВасна Прополис», 25 г	176	10	8		
1209	Гель «АргоВасна Сирень»,  25 г	176	10	8		
1221	Гель «АргоВасна Сирень», 50 мл	426	25	6		
1201	Гель «АргоВасна», 25 г	176	10	8		
1216	Гель «АргоВасна», 50 мл	426	25	6		
1217	Гель «АртроЗлато» для суставов и связок, 80 мл	828	50	6		
1224	Гель «Варико» для вен и капилляров, 50 мл	613	35	6		
1226	Гель «Вита» с маслом зародышей пшеницы, 30 мл	384	24	6		
1222	Гель «Вита» с маслом зародышей пшеницы, 50 мл	426	25	6		
1213	Гель «ЛактоХит», 50 мл	430	27	6		
1215	Гель «ХелаГолд» с коллоидным золотом, 50 мл	713	43	6		
1214	Гель «ХелаЦинк», 50 мл	426	25	6		
	ВПК					
3401	Салфетки антисептические стерильные «Эплан от 100 ран», 1 шт	102	7	5		
	Дон					
	Здоровье и быт					
1063	Аппарат для местной дарсонвализации АМД «ДОН»	2920	150	1		
1050	Гель для ручной стирки «Марго», 500 г	253	16	4		
1051	Гель для стирки в автоматической стиральной машине «Марго», 500 г	253	16	4		
1058	Доска разделочная антисептическая «АРГО+»	271	17	5		
1059	Озонатор бытовой «Гроза»	4110	200	1		
1057	Средство для мытья посуды «Марго», помпа, 250 мл	154	10	6		
1054	Электрод «Грибок» для АМД «ДОН»	250	10	1		
1055	Электрод «Десенный» для АМД «ДОН»	250	10	1		
1056	Электрод «Расческа» для АМД «ДОН»	311	12	1		
1061	Электроды индивидуальные для массажера «Стимул», 2 шт	100	4	1		
1060	Электроимпульсный массажер «Стимул»	2050	105	1		
	Наружные средства					
1038	Бальзам для губ «Поцелуй», 10 мл	100	7	9		
1031	Гель для душа «Пихтовый», 200 мл	167	11	6		
1024	Дезодорант-антиперспирант «Этна», 125 мл	153	10	7		
1006	Крем антицеллюлитный «Форма А», 100 мл	233	15	8		
1007	Крем для проблемной кожи «Бэлль», 50 мл	170	11	8		
1032	Крем для тела  восстанавливающий «Форма А», 200 мл	216	14	6		
1062	Крем от комаров и мошек «Акомарин» с помпой,  125 мл	177	11	7		
1041	Крем от комаров и мошек «Акомарин», 100 мл	148	9	7		
1009	Крем усиливающий пигментацию «Витасан», 100 мл	633	41	4		
1040	Крем-бальзам «Артро-Хвоя», 30 мл	123	8	16		
