	Прайс-лист для Участников Компании АРГО					
	Действителен на момент публикации 02.01.2015. Не является офертой (ст. 437 ГК РФ)					
Код	Наименование	Цена* за единицу, руб.	Баллы	Блок, едениц		Для расчета цен с учетом транспортного коэффициента введите в ячейку расположенную под этой надписью свой транспортный коэффициент в процентах.
	Алтом-Консульт					
9826	Бр. Сборник материалов о продукции Алтом-Консульт	25				
9301	Бук. Продукция ООО «Алтом-Консульт» 	5				0,00%
2702	Концентрат «Локс-эко», 250 мл	219	12	10		Для расчета цен в другой валюте введите в ячейку расположенную под этой надписью коэффициент пересчета цен.
2712	Слокс-эко для растений, 250 мл	150	8	5		
2714	Средство против грызунов «Слокс-эко», 4 таблетки	145	8	10		
2704	Средство против моли «Слокс-эко», 1,2 г	70	4	10		
2705	Средство против моли и клопов «Слокс-эко», 110 мл	99	5	7		1,0000
2713	Стимулятор роста растений хитозановый «Слокс-эко», концентрат, 5 мл	135	7	15		Для определения точности расчета цен укажите в ячейке под этой надписью количество цифр после запятой.
2711	Удобрение органическое для комплексной подкормки растений «Слокс-эко», 500 мл	131	7	12		
2709	Удобрение органическое для подкормки и защиты растений от вред. «Слокс-эко», 500 мл	147	8	12		0
2710	Удобрение органическое для укрепления корневой системы «Слокс-эко», 500 мл	133	7	12		
	Апифарм					
9122	Бр. Ваш АПИФАРМ (вып.2)	18				
9184	Бр. Вместе мы - сила	73				
9631	Бук. Лептины – быстрая помощь организму 	7				
0726	Адиабетон, капсулы, 100 шт	636	40	8		
0701	Аргосластин, таблетки, 200 шт	196	13	10		
0706	Вазолептин, таблетки, 50 шт	404	24	10		
0720	Гемолептин, таблетки, 50 шт	404	24	10		
0707	Гепатолептин, таблетки, 50 шт	404	24	10		
0715	Карамель леденцовая «Плантико Кардиолептин», 33 г	46	3	5		
0717	Карамель леденцовая «Плантико Лептопротект», 33 г	46	3	5		
0708	Кардиолептин, таблетки, 50 шт	404	24	10		
0702	Каталитин, таблетки, 100 шт	728	47	5		
0703	Каталитин, таблетки, 40 шт	304	20	10		
0728	Конфеты таблетированные с растительными экстрактами «Аргофемин», 100 шт	490	30	10		
